epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,1458.46,2.14225,2.10028,1.8276,0.32363,0.3334,0.28068,0.10554,2.15731,2.05402,1.90079,0.0079408,0.0079408,0.0079408
106,1472.36,2.12512,2.06998,1.79683,0.31416,0.30826,0.25957,0.09357,2.229,2.09892,1.90686,0.007921,0.007921,0.007921
107,1486.6,2.13888,2.06478,1.81413,0.35803,0.32471,0.27863,0.10181,2.21645,2.05512,1.89286,0.0079012,0.0079012,0.0079012
108,1499.83,2.148,2.05332,1.8032,0.33623,0.33632,0.26711,0.0969,2.21057,2.04804,1.90872,0.0078814,0.0078814,0.0078814
109,1513.31,2.11105,2.04362,1.79819,0.31096,0.32771,0.28047,0.10297,2.16078,2.04787,1.90318,0.0078616,0.0078616,0.0078616
110,1527.56,2.15163,2.04266,1.79639,0.3008,0.35148,0.27211,0.10202,2.16732,2.07145,1.89701,0.0078418,0.0078418,0.0078418
111,1541.3,2.13274,2.05167,1.80107,0.32863,0.34183,0.28013,0.104,2.1768,2.05787,1.92131,0.007822,0.007822,0.007822
112,1555.1,2.12496,2.03742,1.78764,0.34793,0.32542,0.28409,0.10399,2.19274,2.03956,1.91459,0.0078022,0.0078022,0.0078022
113,1569.12,2.12915,2.03413,1.79699,0.33642,0.34705,0.29036,0.10849,2.15784,2.02065,1.89974,0.0077824,0.0077824,0.0077824
114,1582.97,2.12098,2.0323,1.79251,0.31781,0.29934,0.25328,0.09091,2.21944,2.15631,1.90721,0.0077626,0.0077626,0.0077626
115,1596.81,2.09253,2.00765,1.77595,0.33809,0.37116,0.29376,0.1099,2.15844,2.01127,1.87511,0.0077428,0.0077428,0.0077428
116,1610.63,2.11915,2.02418,1.78148,0.32726,0.3401,0.28155,0.10957,2.15596,1.99609,1.87413,0.007723,0.007723,0.007723
117,1624.6,2.12332,2.02263,1.78101,0.34739,0.36422,0.28826,0.10686,2.15219,2.03541,1.89754,0.0077032,0.0077032,0.0077032
118,1638.73,2.10893,2.02074,1.7753,0.31951,0.33796,0.2804,0.10469,2.17528,2.09238,1.87957,0.0076834,0.0076834,0.0076834
119,1652.34,2.1136,2.01459,1.78344,0.35018,0.35772,0.30191,0.11665,2.12528,1.97565,1.8776,0.0076636,0.0076636,0.0076636
120,1666.15,2.10985,2.0198,1.7764,0.34491,0.33476,0.29149,0.10941,2.1595,1.98891,1.90285,0.0076438,0.0076438,0.0076438
121,1680.34,2.11975,2.00974,1.76303,0.35883,0.34819,0.30757,0.11899,2.15453,1.98955,1.88553,0.007624,0.007624,0.007624
122,1693.53,2.08899,2.00072,1.77814,0.37538,0.34265,0.31291,0.11977,2.15726,1.99487,1.88228,0.0076042,0.0076042,0.0076042
123,1707.37,2.08892,1.98825,1.75682,0.36048,0.35716,0.31477,0.11878,2.12823,1.98363,1.87686,0.0075844,0.0075844,0.0075844
124,1721.26,2.09264,2.00663,1.77291,0.37644,0.34523,0.30833,0.11875,2.1447,1.99138,1.90015,0.0075646,0.0075646,0.0075646
125,1735.77,2.11073,1.98527,1.76417,0.35118,0.33049,0.29317,0.11214,2.14473,1.99838,1.88308,0.0075448,0.0075448,0.0075448
126,1749.17,2.11256,1.98755,1.76446,0.37805,0.36873,0.32185,0.12787,2.10193,1.96433,1.88082,0.007525,0.007525,0.007525
127,1762.86,2.09288,1.99285,1.7572,0.3711,0.34487,0.31331,0.12299,2.13767,1.97598,1.8525,0.0075052,0.0075052,0.0075052
128,1777.11,2.08049,2.00114,1.7557,0.35359,0.35174,0.31043,0.12005,2.13485,1.9871,1.87394,0.0074854,0.0074854,0.0074854
129,1790.52,2.09491,1.98546,1.76912,0.4067,0.35626,0.32681,0.13009,2.09076,1.93852,1.85802,0.0074656,0.0074656,0.0074656
